gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
3912824370;Acianthera pubescens;-27.29083;-52.10444;SOUTH_AMERICA;BR
3912824675;Acianthera ochreata;-13.09833;-41.84417;SOUTH_AMERICA;BR
3912825674;Acianthera ochreata;-13.52306;-41.95306;SOUTH_AMERICA;BR
3912828919;Acianthera;-26.27417;-48.53500;SOUTH_AMERICA;BR
3912830754;Acianthera saundersiana;-27.29083;-52.10444;SOUTH_AMERICA;BR
3912831788;Acianthera klotzschiana;-24.92139;-51.40000;SOUTH_AMERICA;BR
3914324354;Acianthera teres;;;SOUTH_AMERICA;BR
3914979679;Acianthera hygrophila;;;SOUTH_AMERICA;BR
3914979761;Acianthera hatschbachii;-24.71611;-50.14222;SOUTH_AMERICA;BR
3915015331;Acianthera modestissima;-19.39639;-41.67333;SOUTH_AMERICA;BR
3915018326;Acianthera modestissima;-19.39639;-41.67333;SOUTH_AMERICA;BR
3915020361;Acianthera hamata;-19.27222;-41.37833;SOUTH_AMERICA;BR
3915303931;Acianthera pectinata;-19.14751;-40.05924;SOUTH_AMERICA;BR
3915455459;Acianthera ochreata;-12.45883;-41.47173;SOUTH_AMERICA;BR
3923521691;Acianthera polystachya;1.85390;-76.05220;SOUTH_AMERICA;CO
3925091536;Acianthera teres;-18.28537;-43.76710;SOUTH_AMERICA;BR
3925308551;Acianthera sicaria;1.75287;-75.98907;SOUTH_AMERICA;CO
3926412308;Acianthera luteola;-26.18944;-51.82556;SOUTH_AMERICA;BR
3934998048;Acianthera yauaperyensis;3.92404;-53.23477;SOUTH_AMERICA;GF
3935012090;Acianthera ciliata;3.92404;-53.23477;SOUTH_AMERICA;GF
3935047554;Acianthera barthelemyi;3.92404;-53.23477;SOUTH_AMERICA;GF
3935074926;Acianthera pubescens;3.92404;-53.23477;SOUTH_AMERICA;GF
3935077329;Acianthera fockei;3.92404;-53.23477;SOUTH_AMERICA;GF
3935114697;Acianthera erinacea;3.92404;-53.23477;SOUTH_AMERICA;GF
3946223163;Acianthera polystachya;;;SOUTH_AMERICA;CO
3946223532;Acianthera sicaria;;;SOUTH_AMERICA;CO
3946226820;Acianthera sicaria;3.61053;-76.59750;SOUTH_AMERICA;CO
3946768357;Acianthera ciliata;-3.61917;-78.54028;SOUTH_AMERICA;EC
3946770917;Acianthera ciliata;-3.61917;-78.54028;SOUTH_AMERICA;EC
3946772554;Acianthera;-8.17806;-76.22333;SOUTH_AMERICA;PE
3946776858;Acianthera discophylla;-3.61917;-78.54028;SOUTH_AMERICA;EC
3946805741;Acianthera;-8.18028;-76.22333;SOUTH_AMERICA;PE
3946820921;Acianthera sicula;-17.43778;-65.26417;SOUTH_AMERICA;BO
3948541308;Acianthera pubescens;;;SOUTH_AMERICA;BR
3948541316;Acianthera fenestrata;;;SOUTH_AMERICA;BR
3948541345;Acianthera atropurpurea;;;SOUTH_AMERICA;BR
3948541348;Acianthera pubescens;;;SOUTH_AMERICA;BR
3948541352;Acianthera crepiniana;;;SOUTH_AMERICA;BR
3948541356;Acianthera glumacea;;;SOUTH_AMERICA;BR
3948541360;Acianthera recurva;;;SOUTH_AMERICA;BR
3961135642;Acianthera sicaria;1.73610;-76.20498;SOUTH_AMERICA;CO
3961885316;Acianthera polystachya;;;SOUTH_AMERICA;PE
3967741532;Acianthera parva;-23.58108;-46.72700;SOUTH_AMERICA;BR
3969270555;Acianthera hatschbachii;;;SOUTH_AMERICA;BR
3970124398;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124399;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124419;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124423;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124425;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124427;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124428;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124430;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124433;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124434;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124437;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124439;Acianthera polystachya;4.57840;-74.28833;SOUTH_AMERICA;CO
3970124446;Acianthera polystachya;4.57838;-74.28830;SOUTH_AMERICA;CO
3970124449;Acianthera polystachya;4.57838;-74.28830;SOUTH_AMERICA;CO
3970124451;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
